Source: Account_App_Personal_Editable_renamed2.pdf
Date: 2025-11-13 13:22
Total fields: 321

ID, Field Name, Type
1, ia_firm_name, Text
2, ia_master_account, Text
3, service_team, Text
4, ia_contact_name, Text
5, ia_phone, Text
6, ia_email, Text
7, firm_is_custodian, Checkbox
8, firm_holds_other_assets, Checkbox
9, digital_onboarding_note, Text
10, account_type_schwab_one, Checkbox
11, account_type_margin, Checkbox
12, reg_individual, Checkbox
13, reg_tenants_entirety, Checkbox
14, reg_conservatorship, Checkbox
15, reg_custodial, Checkbox
16, reg_estate, Checkbox
17, reg_joint_rights, Checkbox
18, reg_community_property, Checkbox
19, reg_guardianship, Checkbox
20, reg_tenants_common, Checkbox
21, reg_community_rights, Checkbox
22, custodial_age_termination, Text
23, custodial_state, Text
24, estate_type, Text
25, decedent_first_name, Text
26, decedent_middle_name, Text
27, decedent_last_name, Text
28, decedent_ssn, Text
29, estate_tax_id, Text
30, account_number, Text
31, primary_first_name, Text
32, primary_middle_name, Text
33, primary_last_name, Text
34, primary_suffix, Text
35, primary_ssn, Text
36, primary_dob, Text
37, primary_preferred_name, Text
38, primary_street_address, Text
39, primary_city, Text
40, primary_state, Text
41, primary_zip, Text
42, primary_country, Text
43, primary_mailing_address, Text
44, primary_mailing_city, Text
45, primary_mailing_state, Text
46, primary_mailing_zip, Text
47, primary_mailing_country, Text
48, primary_phone, Text
49, primary_mobile, Text
50, primary_work_phone, Text
51, primary_work_ext, Text
52, primary_email, Text
53, primary_mothers_maiden, Text
54, primary_citizen_usa, Checkbox
55, primary_citizen_other, Checkbox
56, primary_citizen_other_country, Text
57, primary_residence_usa, Checkbox
58, primary_residence_other, Checkbox
59, primary_residence_country, Text
60, primary_id_passport, Checkbox
61, primary_id_license, Checkbox
62, primary_id_govt, Checkbox
63, primary_id_number, Text
64, primary_id_country, Text
65, primary_id_state, Text
66, primary_id_issue_date, Text
67, primary_id_exp_date, Text
68, primary_employment_employed, Checkbox
69, primary_employment_self, Checkbox
70, primary_employment_retired, Checkbox
71, primary_employment_homemaker, Checkbox
72, primary_employment_student, Checkbox
73, primary_employment_unemployed, Checkbox
74, primary_occupation_owner, Checkbox
75, primary_occupation_executive, Checkbox
76, primary_occupation_medical, Checkbox
77, primary_occupation_legal, Checkbox
78, primary_occupation_accounting, Checkbox
79, primary_occupation_consultant, Checkbox
80, primary_occupation_other, Checkbox
81, primary_occupation_other_text, Text
82, primary_occupation_financial, Checkbox
83, primary_occupation_it, Checkbox
84, primary_occupation_professional, Checkbox
85, primary_occupation_clerical, Checkbox
86, primary_occupation_foreign_govt, Checkbox
87, primary_occupation_military, Checkbox
88, primary_occupation_educator, Checkbox
89, primary_occupation_sales, Checkbox
90, primary_occupation_us_govt, Checkbox
91, primary_occupation_trade, Checkbox
92, primary_employer_name, Text
93, primary_employer_address, Text
94, primary_employer_city, Text
95, primary_employer_state, Text
96, primary_employer_zip, Text
97, primary_employer_country, Text
98, primary_finra_no, Checkbox
99, primary_finra_yes, Checkbox
100, primary_finra_company, Text
101, primary_director_no, Checkbox
102, primary_director_yes, Checkbox
103, primary_director_company, Text
104, primary_director_symbol, Text
105, trust_contact1_first, Text
106, trust_contact1_middle, Text
107, trust_contact1_last, Text
108, trust_contact1_suffix, Text
109, trust_contact1_rel_spouse, Checkbox
110, trust_contact1_rel_partner, Checkbox
111, trust_contact1_rel_child, Checkbox
112, trust_contact1_rel_parent, Checkbox
113, trust_contact1_rel_sibling, Checkbox
114, trust_contact1_rel_friend, Checkbox
115, trust_contact1_rel_other, Checkbox
116, trust_contact1_address, Text
117, trust_contact1_city, Text
118, trust_contact1_state, Text
119, trust_contact1_zip, Text
120, trust_contact1_country, Text
121, trust_contact1_phone, Text
122, trust_contact1_mobile, Text
123, trust_contact1_email, Text
124, trust_contact2_first, Text
125, trust_contact2_middle, Text
126, trust_contact2_last, Text
127, trust_contact2_suffix, Text
128, trust_contact2_rel_spouse, Checkbox
129, trust_contact2_rel_partner, Checkbox
130, trust_contact2_rel_child, Checkbox
131, trust_contact2_rel_parent, Checkbox
132, trust_contact2_rel_sibling, Checkbox
133, trust_contact2_rel_friend, Checkbox
134, trust_contact2_rel_other, Checkbox
135, trust_contact2_address, Text
136, trust_contact2_city, Text
137, trust_contact2_state, Text
138, trust_contact2_zip, Text
139, trust_contact2_country, Text
140, trust_contact2_phone, Text
141, trust_contact2_mobile, Text
142, trust_contact2_email, Text
143, secondary_first_name, Text
144, secondary_middle_name, Text
145, secondary_last_name, Text
146, secondary_suffix, Text
147, secondary_ssn, Text
148, secondary_dob, Text
149, secondary_preferred_name, Text
150, secondary_street_address, Text
151, secondary_city, Text
152, secondary_state, Text
153, secondary_zip, Text
154, secondary_country, Text
155, secondary_mailing_address, Text
156, secondary_mailing_city, Text
157, secondary_mailing_state, Text
158, secondary_mailing_zip, Text
159, secondary_mailing_country, Text
160, secondary_phone, Text
161, secondary_mobile, Text
162, secondary_work_phone, Text
163, secondary_work_ext, Text
164, secondary_email, Text
165, secondary_mothers_maiden, Text
166, secondary_citizen_usa, Checkbox
167, secondary_citizen_other, Checkbox
168, secondary_citizen_other_country, Text
169, secondary_residence_usa, Checkbox
170, secondary_residence_other, Checkbox
171, secondary_residence_country, Text
172, secondary_id_passport, Checkbox
173, secondary_id_license, Checkbox
174, secondary_id_govt, Checkbox
175, secondary_id_number, Text
176, secondary_id_country, Text
177, secondary_id_state, Text
178, secondary_id_issue_date, Text
179, secondary_id_exp_date, Text
180, secondary_employment_employed, Checkbox
181, secondary_employment_self, Checkbox
182, secondary_employment_retired, Checkbox
183, secondary_employment_homemaker, Checkbox
184, secondary_employment_student, Checkbox
185, secondary_employment_unemployed, Checkbox
186, secondary_occupation_owner, Checkbox
187, secondary_occupation_executive, Checkbox
188, secondary_occupation_medical, Checkbox
189, secondary_occupation_legal, Checkbox
190, secondary_occupation_accounting, Checkbox
191, secondary_occupation_financial, Checkbox
192, secondary_occupation_it, Checkbox
193, secondary_occupation_professional, Checkbox
194, secondary_occupation_clerical, Checkbox
195, secondary_occupation_foreign_govt, Checkbox
196, secondary_occupation_us_govt, Text
197, secondary_occupation_military, Checkbox
198, secondary_occupation_educator, Checkbox
199, secondary_occupation_sales, Checkbox
200, secondary_occupation_other_text, Checkbox
201, secondary_occupation_trade, Checkbox
202, secondary_occupation_consultant, Checkbox
203, secondary_occupation_other, Checkbox
204, secondary_employer_name, Text
205, secondary_employer_address, Text
206, secondary_employer_city, Text
207, secondary_employer_state, Text
208, secondary_employer_zip, Text
209, secondary_employer_country, Text
210, secondary_finra_no, Checkbox
211, secondary_finra_yes, Checkbox
212, secondary_finra_company, Text
213, secondary_director_no, Checkbox
214, secondary_director_yes, Checkbox
215, secondary_director_company, Text
216, secondary_director_symbol, Text
217, sec_trust_contact1_first, Text
218, sec_trust_contact1_middle, Text
219, sec_trust_contact1_last, Text
220, sec_trust_contact1_suffix, Text
221, sec_trust_contact1_rel_spouse, Checkbox
222, sec_trust_contact1_rel_partner, Checkbox
223, sec_trust_contact1_rel_child, Checkbox
224, sec_trust_contact1_rel_parent, Checkbox
225, sec_trust_contact1_rel_sibling, Checkbox
226, sec_trust_contact1_rel_friend, Checkbox
227, sec_trust_contact1_rel_other, Checkbox
228, sec_trust_contact1_address, Text
229, sec_trust_contact1_city, Text
230, sec_trust_contact1_state, Text
231, sec_trust_contact1_zip, Text
232, sec_trust_contact1_country, Text
233, sec_trust_contact1_phone, Text
234, sec_trust_contact1_mobile, Text
235, sec_trust_contact1_email, Text
236, sec_trust_contact2_first, Text
237, sec_trust_contact2_middle, Text
238, sec_trust_contact2_last, Text
239, sec_trust_contact2_suffix, Text
240, sec_trust_contact2_rel_spouse, Checkbox
241, sec_trust_contact2_rel_partner, Checkbox
242, sec_trust_contact2_rel_child, Checkbox
243, sec_trust_contact2_rel_parent, Checkbox
244, sec_trust_contact2_rel_sibling, Checkbox
245, sec_trust_contact2_rel_friend, Checkbox
